@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1,'2018/03/12 12:31:52:560',1,0,0,1023,1023,1023,0,0,0,0,0
2,'2018/03/12 12:31:52:596',1,0,0,1023,1023,1023,0,0,0,0,0
3,'2018/03/12 12:31:52:597',1,0,0,1023,1023,1023,0,0,0,0,0
4,'2018/03/12 12:31:52:768',1,0,0,1023,1023,1023,0,0,0,0,0
5,'2018/03/12 12:31:52:769',1,0,0,1023,1023,1023,0,0,0,0,0
6,'2018/03/12 12:31:52:779',1,0,0,1023,1023,1023,0,0,0,0,0
7,'2018/03/12 12:31:52:976',1,0,0,1023,1023,1023,0,0,0,0,0
8,'2018/03/12 12:31:52:978',1,0,0,1023,1023,1023,0,0,0,0,0
9,'2018/03/12 12:31:52:988',1,0,0,1023,1023,1023,0,0,0,0,0
10,'2018/03/12 12:31:53:184',1,0,0,1023,1023,1023,0,0,0,0,0
11,'2018/03/12 12:31:53:186',1,0,0,1023,1023,1023,0,0,0,0,0
12,'2018/03/12 12:31:53:197',1,0,0,1023,1023,1023,0,0,0,0,0
13,'2018/03/12 12:31:54:160',1,0,0,1023,1023,1023,0,0,0,0,0
14,'2018/03/12 12:31:54:162',1,0,0,1023,1023,1023,0,0,0,0,0
15,'2018/03/12 12:31:54:174',1,0,0,1023,1023,1023,0,0,0,0,0
16,'2018/03/12 12:32:42:699',2,1023,1023,0,0,0,1,1,1,1,1
17,'2018/03/12 12:32:42:700',2,1023,1023,0,0,0,1,1,1,1,1
18,'2018/03/12 12:32:42:710',2,1023,1023,0,0,0,1,1,1,1,1
19,'2018/03/12 12:32:43:035',2,1023,1023,0,0,0,1,1,1,1,1
20,'2018/03/12 12:32:43:037',2,1023,1023,0,0,0,1,1,1,1,1
21,'2018/03/12 12:32:43:048',2,1023,1023,0,0,0,1,1,1,1,1
22,'2018/03/12 12:32:43:371',2,1023,1023,0,0,0,1,1,1,1,1
23,'2018/03/12 12:32:43:373',2,1023,1023,0,0,0,1,1,1,1,1
24,'2018/03/12 12:32:43:384',2,1023,1023,0,0,0,1,1,1,1,1
25,'2018/03/12 12:32:43:547',2,1023,1023,0,0,0,1,1,1,1,1
26,'2018/03/12 12:32:43:549',2,1023,1023,0,0,0,1,1,1,1,1
27,'2018/03/12 12:32:43:560',2,1023,1023,0,0,0,1,1,1,1,1
