@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1,'2018/03/06 13:25:32:014',2,0,0,0,0,0,0,0,0,0,0
2,'2018/03/06 13:25:32:026',2,0,0,0,0,0,0,0,0,0,0
3,'2018/03/06 13:25:32:094',2,0,0,0,0,0,0,0,0,0,0
4,'2018/03/06 13:25:32:097',2,0,0,0,0,0,0,0,0,0,0
5,'2018/03/06 13:25:32:107',2,0,0,0,0,0,0,0,0,0,0
6,'2018/03/06 13:25:32:175',2,0,0,0,0,0,0,0,0,0,0
7,'2018/03/06 13:25:32:176',2,0,0,0,0,0,0,0,0,0,0
8,'2018/03/06 13:25:32:190',2,0,0,0,0,0,0,0,0,0,0
9,'2018/03/06 13:25:32:255',2,0,0,0,0,0,0,0,0,0,0
10,'2018/03/06 13:25:32:257',2,0,0,0,0,0,0,0,0,0,0
11,'2018/03/06 13:25:32:266',2,0,0,0,0,0,0,0,0,0,0
12,'2018/03/06 13:25:32:334',2,0,0,0,0,0,0,0,0,0,0
13,'2018/03/06 13:25:32:335',2,0,0,0,0,0,0,0,0,0,0
14,'2018/03/06 13:25:32:347',2,0,0,0,0,0,0,0,0,0,0
15,'2018/03/06 13:25:32:414',2,0,0,0,0,0,0,0,0,0,0
16,'2018/03/06 13:25:32:416',2,0,0,0,0,0,0,0,0,0,0
17,'2018/03/06 13:25:32:431',2,0,0,0,0,0,0,0,0,0,0
18,'2018/03/06 13:25:32:494',2,0,0,0,0,0,0,0,0,0,0
19,'2018/03/06 13:25:32:496',2,0,0,0,0,0,0,0,0,0,0
20,'2018/03/06 13:25:32:509',2,0,0,0,0,0,0,0,0,0,0
21,'2018/03/06 13:25:32:574',2,0,0,0,0,0,0,0,0,0,0
22,'2018/03/06 13:25:32:575',2,0,0,0,0,0,0,0,0,0,0
23,'2018/03/06 13:25:32:586',2,0,0,0,0,0,0,0,0,0,0
24,'2018/03/06 13:25:32:815',2,0,0,0,0,0,0,0,0,0,0
25,'2018/03/06 13:25:32:817',2,0,0,0,0,0,0,0,0,0,0
26,'2018/03/06 13:25:32:827',2,0,0,0,0,0,0,0,0,0,0
27,'2018/03/06 13:26:03:085',3,1023,1023,1023,1023,1023,1,1,1,1,1
28,'2018/03/06 13:26:03:087',3,1023,1023,1023,1023,1023,1,1,1,1,1
29,'2018/03/06 13:26:03:097',3,1023,1023,1023,1023,1023,1,1,1,1,1
30,'2018/03/06 13:26:03:516',3,1023,1023,1023,1023,1023,1,1,1,1,1
31,'2018/03/06 13:26:03:518',3,1023,1023,1023,1023,1023,1,1,1,1,1
32,'2018/03/06 13:26:03:532',3,1023,1023,1023,1023,1023,1,1,1,1,1
33,'2018/03/06 13:26:03:869',3,1023,1023,1023,1023,1023,1,1,1,1,1
34,'2018/03/06 13:26:03:873',3,1023,1023,1023,1023,1023,1,1,1,1,1
35,'2018/03/06 13:26:03:883',3,1023,1023,1023,1023,1023,1,1,1,1,1
36,'2018/03/06 13:26:04:301',3,1023,1023,1023,1023,1023,1,1,1,1,1
37,'2018/03/06 13:26:04:304',3,1023,1023,1023,1023,1023,1,1,1,1,1
38,'2018/03/06 13:26:04:315',3,1023,1023,1023,1023,1023,1,1,1,1,1
39,'2018/03/06 13:26:04:734',3,1023,1023,1023,1023,1023,1,1,1,1,1
40,'2018/03/06 13:26:04:737',3,1023,1023,1023,1023,1023,1,1,1,1,1
41,'2018/03/06 13:26:04:746',3,1023,1023,1023,1023,1023,1,1,1,1,1
